0,0,0.38,0,0,0,1,0,0.72,-1.44,0,0.72,-1.44,0,0.72,-1.44,0,0.72,-1.44,0,2.35619,1.5708,0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000112157,5.59494e-06,0.3795,2.7294e-05,-2.02499e-05,7.04567e-06,1,-3.21984e-06,0.719999,-1.43999,3.92494e-05,0.719984,-1.43999,1.81421e-05,0.719983,-1.43999,3.51802e-06,0.72,-1.43999,1.31948e-06,2.35619,1.5708,0.785398,1.87509e-08,3.48406e-08,-0.056589,-0.000228853,0.0465018,-0.0030365,-0.00186286,5.94754e-05,0.00294381,-0.282128,0.284118,0.00396494,-0.290108,0.292569,0.00323948,-0.285718,0.286292,0.00328545,-0.281068,0.28195,0.0987331,0.240475,-0.0916337,0.140904,-0.0379213,0.00686313
-0.00135531,7.12703e-06,0.379967,2.43405e-05,-5.92012e-05,1.47222e-05,1,5.33873e-05,0.714356,-1.43431,0.000156957,0.714165,-1.43413,0.000102149,0.714252,-1.43426,7.17653e-05,0.714378,-1.43435,0.00197729,2.361,1.56896,0.788216,-0.00075839,0.000137331,-0.102014,-0.000244307,0.0854768,-0.00291195,-0.00186777,5.91205e-05,0.00284967,-0.511813,0.513751,0.00381257,-0.519766,0.522176,0.00314406,-0.515441,0.516065,0.00313868,-0.510757,0.511668,0.0293382,0.304226,-0.124047,0.207847,-0.132403,-0.0132109
-0.00350635,8.41273e-06,0.381248,2.25887e-05,-9.79822e-05,2.24078e-05,1,0.000108974,0.70412,-1.42403,0.000270677,0.703754,-1.42368,0.000185129,0.703926,-1.42393,0.000136138,0.704163,-1.42411,0.00256538,2.36709,1.56648,0.792373,-0.00340647,-0.000126854,-0.142236,-0.00026874,0.117987,-0.00264824,-0.0018224,5.83282e-05,0.00261642,-0.710202,0.71204,0.00352135,-0.718071,0.720383,0.00291095,-0.713933,0.71457,0.00285495,-0.709168,0.710061,-0.207663,0.24875,-0.0935441,0.209645,-0.260833,-0.0604883
-0.00646136,9.33464e-06,0.383211,2.33918e-05,-0.000135914,3.01115e-05,1,0.000160666,0.689915,-1.40979,0.000377661,0.689376,-1.40926,0.000264257,0.689631,-1.40963,0.000193934,0.689979,-1.40991,-0.00158652,2.37206,1.56461,0.796566,-0.00862319,-0.00133659,-0.181181,-0.000415319,0.146715,0.00141762,-0.00219959,5.57238e-05,-0.00136041,-0.895682,0.897807,-0.000529969,-0.902462,0.905095,-0.00109419,-0.899364,0.900455,-0.00118674,-0.892796,0.893923,-0.621011,0.0916437,0.0237838,0.187757,-0.373199,-0.13336
-0.0101949,7.36612e-06,0.38578,6.46915e-05,-0.000177077,3.78086e-05,1,0.000133449,0.672002,-1.39183,0.000402679,0.671311,-1.39115,0.00026399,0.671628,-1.39162,0.000170014,0.672123,-1.39203,-0.0140053,2.3739,1.56509,0.800322,-0.0160873,-0.00400377,-0.222181,-0.00106657,0.173315,0.380922,-0.102948,0.000103216,0.0945246,-0.443804,0.472938,-0.379814,-0.988138,1.09145,-0.380359,-0.984901,1.08654,-0.610911,-0.551304,0.501139,-0.800107,0.186272,0.25343,0.149361,-0.425628,-0.220187
-0.0147526,-2.16474e-05,0.38889,0.00390058,-0.00122453,4.65408e-05,0.999992,0.00202394,0.663126,-1.38237,-0.00715932,0.651533,-1.36932,-0.00732132,0.651914,-1.36989,-0.0120484,0.661098,-1.38201,-0.0300059,2.37762,1.57016,0.803309,-0.0246001,-0.00840753,-0.21426,0.000603715,0.158766,0.408427,-0.111303,0.000909402,-0.116585,-0.236687,0.155719,-0.407538,-0.921557,1.03319,-0.408018,-0.917811,1.02723,-0.588319,-0.385698,0.222388,-0.47407,0.351488,0.0714973,0.148188,-0.398191,-0.284514
-0.0191588,-4.18618e-05,0.391715,0.00801096,-0.00235461,6.32518e-05,0.999965,-0.000307755,0.658393,-1.37926,-0.0152771,0.633088,-1.34866,-0.0154596,0.633543,-1.34934,-0.0238149,0.653384,-1.37756,-0.0394859,2.38465,1.57159,0.806272,-0.0325641,-0.0140979,-0.204653,0.00172568,0.145677,0.385946,-0.105083,0.00171599,-0.202533,-0.0939849,-0.0953262,-0.38518,-0.867253,0.97263,-0.385459,-0.864279,0.967503,-0.541771,-0.265589,-0.000962229,-0.245746,0.407947,-0.0111367,0.180141,-0.304722,-0.309299
-0.0233788,-6.03578e-05,0.394282,0.0118959,-0.00342166,8.78546e-05,0.999923,-0.00435841,0.656513,-1.38116,-0.0229489,0.61573,-1.3292,-0.0231467,0.616244,-1.32999,-0.0346505,0.648072,-1.37758,-0.0443996,2.39281,1.57136,0.809875,-0.0386586,-0.0202839,-0.194251,0.00257919,0.133062,0.329513,-0.0899107,0.00217123,-0.214502,0.00301209,-0.285448,-0.328831,-0.821,0.911178,-0.328979,-0.818523,0.90662,-0.481481,-0.179444,-0.175527,-0.0999765,0.396536,-0.0339318,0.211527,-0.187203,-0.295056
-0.027395,-7.64794e-05,0.396604,0.0152157,-0.00433628,0.000116711,0.999875,-0.00864843,0.656574,-1.38687,-0.029495,0.599297,-1.31098,-0.0297041,0.599861,-1.31186,-0.0442803,0.644484,-1.38109,-0.046398,2.40074,1.57068,0.814106,-0.0424027,-0.026185,-0.18359,0.00312981,0.121175,0.257992,-0.0708469,0.00219371,-0.18854,0.0654467,-0.421529,-0.257352,-0.779912,0.850998,-0.25746,-0.777576,0.846649,-0.412172,-0.119701,-0.307276,-0.00770166,0.349737,-0.0310778,0.224296,-0.0767526,-0.251884
