49.9998,1.92286e-05,0.000161725
49.9998,-1.17546e-05,0.000151743
49.9998,-4.29849e-05,0.000146955
49.9998,-7.74178e-05,0.000148654
49.9998,-0.000137613,0.000175224
49.9997,-0.000358235,0.000393777
49.9997,-0.000393345,0.000400792
49.9997,-0.000423828,0.000405857
49.9997,-0.00044935,0.000409765
49.9997,-0.000470808,0.000412634
49.9997,-0.000488975,0.000414629
49.9996,-0.000504363,0.000415942
49.9996,-0.000517279,0.000416759
49.9996,-0.000527923,0.000417222
49.9996,-0.000536462,0.000417423
49.9996,-0.000543073,0.000417411
49.9996,-0.00054795,0.000417205
49.9996,-0.000551302,0.000416808
49.9996,-0.00055334,0.000416214
49.9996,-0.000554266,0.000415419
49.9996,-0.000554262,0.000414417
49.9996,-0.000553486,0.000413209
49.9996,-0.000552071,0.000411798
49.9996,-0.000550119,0.000410187
49.9997,-0.000547701,0.000408382
49.9997,-0.000544862,0.000406391
49.9997,-0.000541616,0.000404217
49.9997,-0.000537948,0.000401865
49.9997,-0.000533813,0.000399339
49.9997,-0.000529139,0.000396644
49.9997,-0.000523823,0.000393784
49.9997,-0.000517738,0.000390768
49.9997,-0.000510732,0.000387609
49.9997,-0.00050263,0.000384323
49.9997,-0.000493243,0.000380932
49.9997,-0.000482373,0.000377461
49.9997,-0.000469818,0.000373927
49.9997,-0.000455372,0.000370325
49.9997,-0.000438805,0.000366597
49.9997,-0.000419815,0.000362585
49.9997,-0.000397938,0.000357984
49.9997,-0.000372451,0.000352305
49.9997,-0.000342318,0.000344914
49.9997,-0.000306263,0.000335198
49.9997,-0.000261045,0.000323909
49.9999,-5.69197e-05,8.16917e-05
49.9999,-2.34987e-05,6.07271e-05
49.9999,-6.38573e-06,4.73988e-05
49.9999,3.15935e-06,4.89699e-05
49.9999,3.84539e-05,7.88347e-05
49.9998,0.000214185,0.000302838
49.9998,0.000219009,0.000297046
49.9998,0.0002222,0.000291399
49.9998,0.000222186,0.000285177
49.9998,0.000219581,0.00027846
49.9998,0.000215144,0.000271592
49.9998,0.000209457,0.000264845
49.9998,0.000202882,0.000258327
49.9998,0.000195594,0.000252006
49.9998,0.00018765,0.000245772
49.9998,0.000179047,0.000239501
49.9999,0.00016976,0.000233082
49.9999,0.000159763,0.000226432
49.9999,0.000149033,0.000219495
49.9999,0.00013755,0.000212228
49.9999,0.000125295,0.000204605
49.9999,0.000112248,0.000196598
49.9999,9.83892e-05,0.000188187
49.9999,8.36974e-05,0.000179348
49.9999,6.81525e-05,0.000170054
49.9999,5.17366e-05,0.000160279
49.9999,3.44355e-05,0.000149988
49.9999,1.62414e-05,0.000139144
50,-2.84533e-06,0.000127702
50,-2.28126e-05,0.000115611
50,-4.36326e-05,0.000102812
50,-6.52564e-05,8.92374e-05
50,-8.76072e-05,7.48125e-05
50,-0.000110573,5.94544e-05
50,-0.000133995,4.3075e-05
50.0001,-0.000157659,2.55836e-05
50.0001,-0.000181282,6.89025e-06
50.0001,-0.000204491,-1.30874e-05
50.0001,-0.000226794,-3.44068e-05
50.0001,-0.000247542,-5.70553e-05
50.0002,-0.00026587,-8.08489e-05
50.0002,-0.00028071,-0.000105242
50.0002,-0.000290979,-0.000129053
50.0003,-0.000296284,-0.00015019
50.0003,-0.000298168,-0.000165983
50.0001,-0.000140681,-6.01924e-05
50,-0.000120935,-2.53467e-05
50,-0.000107996,2.15366e-06
50,-9.43166e-05,2.77193e-05
49.9999,-9.05379e-05,5.28329e-05
49.9998,-0.00023674,0.00022443
49.9998,-0.000243653,0.000228672
49.9998,-0.000248256,0.000230575
49.9998,-0.000251332,0.000230617
49.9998,-0.000253491,0.000229518
49.9998,-0.000254841,0.000227644
49.9998,-0.000255201,0.000225094
49.9998,-0.000254292,0.000221864
49.9999,-0.000251851,0.000217939
49.9999,-0.000247676,0.000213323
49.9999,-0.000241628,0.000208032
49.9999,-0.000233619,0.000202087
49.9999,-0.000223593,0.000195499
49.9999,-0.000211512,0.000188269
49.9999,-0.000197344,0.000180384
49.9999,-0.00018106,0.000171817
49.9999,-0.000162628,0.000162534
49.9999,-0.000142015,0.000152494
49.9999,-0.000119192,0.000141648
50,-9.41335e-05,0.00012994
50,-6.68322e-05,0.000117308
50,-3.73011e-05,0.000103682
50,-5.58691e-06,8.89784e-05
50,2.82186e-05,7.31062e-05
50,6.39647e-05,5.59605e-05
50.0001,0.000101427,3.74261e-05
50.0001,0.000140292,1.73797e-05
50.0001,0.000180145,-4.30638e-06
50.0001,0.000220456,-2.77581e-05
50.0002,0.000260574,-5.3094e-05
50.0002,0.000299719,-8.04179e-05
50.0002,0.00033697,-0.000109807
50.0003,0.000371245,-0.000141289
50.0003,0.00040125,-0.000174777
50.0004,0.000425418,-0.000209939
50.0004,0.000441882,-0.000245934
50.0004,0.000448637,-0.000280993
50.0005,0.00044422,-0.000311866
50.0006,0.000429428,-0.000333326
50.0006,0.000409465,-0.000337884
50.0001,0.000185463,-0.000105179
50.0001,0.000136658,-5.3629e-05
50,0.000104304,-2.30541e-05
50,8.185e-05,8.56014e-06
49.9999,6.14349e-05,7.75585e-05
49.9999,0.000130819,0.000205095
49.9999,0.000131157,0.000217757
49.9999,0.000132685,0.000225596
49.9999,0.000134659,0.00022991
49.9999,0.000136834,0.000231941
49.9999,0.000138998,0.000232487
49.9999,0.000140914,0.000231992
49.9999,0.000142328,0.000230691
49.9999,0.000142995,0.000228712
49.9999,0.000142697,0.000226136
49.9999,0.000141255,0.000223013
49.9999,0.000138528,0.000219377
49.9999,0.000134416,0.000215242
49.9999,0.000128848,0.000210608
49.9999,0.000121783,0.000205464
49.9999,0.000113199,0.000199789
49.9999,0.000103092,0.000193559
49.9999,9.14729e-05,0.000186748
